Date,CORDILLERA ADMINISTRATIVE REGION (CAR),REGION I (ILOCOS REGION),REGION II (CAGAYAN VALLEY),REGION III (CENTRAL LUZON),REGION IV-A (CALABARZON),MIMAROPA REGION,REGION V (BICOL REGION),REGION VI (WESTERN VISAYAS),REGION VII (CENTRAL VISAYAS),REGION VIII (EASTERN VISAYAS),REGION IX (ZAMBOANGA PENINSULA),REGION X (NORTHERN MINDANAO),REGION XI (DAVAO REGION),REGION XII (SOCCSKSARGEN),REGION XIII (CARAGA),BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)
1/1/1987,2117.75539,33182.36853,123828.3693,81774.59836,37147.07545,18182.79526,51219.66619,150734.8485,18353.32379,54007.72097,37056.61638,25621.24814,45871.07524,56413.42259,8802.737548,12514.31126
2/1/1987,2117.75539,33182.36853,123828.3693,81774.59836,37147.07545,18182.79526,51219.66619,150734.8485,18353.32379,54007.72097,37056.61638,25621.24814,45871.07524,56413.42259,8802.737548,12514.31126
3/1/1987,5448.489221,27802.26294,105006.2615,94894.80327,33394.84909,22066.40948,46526.66763,108992.3029,14515.35243,42659.55806,28638.76724,21328.50371,36107.84952,43771.15482,13825.5249,10013.37748
4/1/1987,16186.94449,20980.07963,79452.53664,131739.3185,29410.03927,32586.17581,40946.14135,38515.19376,8753.521683,26501.90139,14855.23235,13871.56053,19469.81428,21009.5383,26718.20172,4831.657832
5/1/1987,22328.0806,15945.99473,62100.57403,147741.2324,25687.25382,37462.93959,36352.70772,14608.45717,5607.079193,16896.83931,8671.086588,10376.14461,12254.36899,12477.00681,33838.19443,3223.172388
6/1/1987,16860.97491,11436.92564,50293.88934,103360.4491,19958.70691,25823.8846,30720.15093,16334.34907,4727.399124,12296.2593,9201.681066,11846.29487,14490.81674,17830.45489,24677.60385,5978.16978
7/1/1987,5171.025438,731.1872618,25823.94764,11279.69583,7294.673119,1631.81425,16589.71391,18189.34421,2493.432958,2678.218566,9785.20405,13503.89591,19212.24404,27964.87494,7481.144838,13419.22095
8/1/1987,2689.818916,255.2862578,17901.95876,2791.995393,4358.10198,292.8643795,12865.06399,19927.57361,1923.374894,1077.143687,10318.68414,14994.74095,21780.93542,34422.30819,3064.59226,17652.49829
9/1/1987,6838.155646,6349.52648,38698.09359,23758.30878,13188.2249,4590.321371,28354.2221,55959.08217,5687.192148,6446.637747,18632.11181,22937.36314,30524.82054,54984.81687,5465.262902,18945.28077
10/1/1987,24011.48605,149003.7467,99024.2521,247076.515,47978.74829,81853.87243,73030.55998,166975.956,19720.96924,41915.04965,37462.94077,40271.0514,46939.01785,98889.92342,15767.18583,19967.31572
11/1/1987,33077.8674,221977.1998,133638.0584,362902.7287,67219.89429,121432.2105,98831.07731,232378.2492,27574.74667,60962.11291,49021.27118,50629.14397,57390.83624,125805.832,20579.30633,21242.80318
12/1/1987,25617.64654,161734.0535,137009.6895,280096.7563,60636.35742,90029.91712,94748.3627,205024.7948,22125.2841,59893.83744,45876.78804,42271.80463,53320.14591,103016.2446,17291.50784,19795.8811
1/1/1988,11032.51075,57037.32306,138682.421,130634.1217,46504.6617,31880.25825,85996.19578,161014.7537,12321.14384,55106.67683,39942.49368,27369.86639,45802.04567,64312.56504,8567.928224,18432.16459
2/1/1988,6499.656354,23181.01134,142013.2485,75804.97424,40840.47707,14804.46434,82123.74869,136225.67,8294.738779,54105.93652,37003.30053,20625.27351,42016.29937,46043.61457,6556.345375,16978.68127
3/1/1988,9214.832897,18770.66561,116956.3305,74352.90406,36825.86123,19077.27741,65449.05553,93712.57627,7647.117381,45001.38665,29944.2058,19228.8601,36285.65496,39261.82039,12805.7264,13129.15414
4/1/1988,18889.23559,18888.73444,77888.95778,98296.3937,33024.37913,40341.4598,38941.02143,12723.84875,7857.911304,32749.78921,18151.27359,18307.51941,26986.79473,29854.38337,32743.87389,5454.539528
5/1/1988,23188.2774,13087.62068,56652.07312,96338.48384,28983.68534,47723.509,25628.09324,2158.69948,7130.865883,24443.42811,12552.36872,16873.90427,21925.37529,23620.82056,43482.67162,3191.797945
6/1/1988,18189.48702,10512.64489,52624.96911,70021.12246,25544.93553,34637.0312,26725.88534,10046.45177,6654.222813,19170.78268,15012.35769,18388.57631,24411.82998,30030.79607,31570.45449,6877.662527
7/1/1988,7618.086637,1589.487837,44971.0594,13093.24587,17992.2243,5904.751524,28017.82993,73517.09764,4302.763274,8467.264895,20794.57928,19627.73909,29414.44625,40609.96345,9820.92121,18094.35682
8/1/1988,4731.111122,1073.858797,41244.49377,5208.805846,15193.42587,2319.117394,29123.28238,105851.1033,3970.775281,5254.972143,23722.31627,21121.44439,32133.49279,47753.30482,3869.780032,24407.9061
9/1/1988,8941.802242,14746.65337,61036.44683,29460.94828,23204.34983,13538.13108,45885.88769,118827.7991,9029.461445,13224.76296,28077.10446,27246.81651,36722.06096,63125.73173,5512.298759,26802.73708
10/1/1988,23749.35639,192672.0192,102474.003,196913.5918,43209.06801,95699.62336,82317.61564,126651.9612,22755.45738,41049.45403,34110.49599,37622.68733,44903.72277,92215.40579,13140.7784,30012.76472
11/1/1988,31352.56906,285367.8711,127566.1817,285822.5786,54298.01635,139067.1197,104343.009,139121.3688,30926.3483,56485.28557,38690.67843,44528.22662,49891.39295,110274.1044,16157.48353,32474.45943
12/1/1988,23036.07455,204383.1097,129196.8153,232178.8296,48079.91564,102824.257,94265.37537,142093.6701,29752.19432,52017.2604,39771.82558,45003.08605,45572.88428,95298.48985,14356.73807,27217.77585
1/1/1989,7262.178734,62696.55056,130373.7334,126860.2103,33938.61224,36098.03703,77050.67344,158940.788,27458.01331,42698.76779,43126.45841,47448.02988,36643.736,70110.77759,8784.95989,19810.54483
2/1/1989,3159.081403,21549.60436,131998.7118,88743.0108,28897.41397,16448.46055,67827.3775,162197.3747,26329.87664,38686.52305,44267.77186,47943.46001,32807.86916,57039.13424,7525.045428,15068.62378
3/1/1989,5536.739863,17180.84508,110640.5548,96781.77885,32733.97378,21101.50242,54650.94907,112870.8373,20143.11005,32677.70916,34615.76974,35830.51011,34466.39485,49316.08817,12748.99468,11263.83138
4/1/1989,15905.05451,17894.10796,77814.16768,138648.7107,44275.8517,44947.60517,33980.94439,19435.30266,9741.842687,24876.49991,17819.17855,14564.93139,40028.74907,36205.29346,27321.5754,3803.90609
5/1/1989,20683.28096,11792.44336,59199.44338,149281.7865,48920.76487,53068.23376,23185.2203,4348.565004,5423.339998,19271.53366,10929.5635,7126.380272,41866.50283,29482.65104,35262.76322,1863.565918
6/1/1989,15401.66453,10053.44867,54932.38894,109346.5028,40438.38344,38134.16106,26078.83531,14260.13234,6650.817314,16765.96642,13453.25795,10070.68834,37782.7481,39098.0555,26993.66138,5522.527992
7/1/1989,4213.739339,2278.878353,45639.22807,23163.41839,22313.88852,6471.293381,30914.57971,77635.55562,9243.021671,10289.89641,19803.42725,17854.85947,27793.17876,61665.73674,11440.09852,19821.44852
8/1/1989,2014.604051,1802.243645,41795.47429,9836.499525,16390.90374,2305.672791,34002.16433,109469.8928,10683.13022,8481.950714,22931.54569,21894.06203,24425.11005,73837.75245,6387.945523,27720.59428
9/1/1989,5933.656611,18077.878,63005.29764,45443.08208,25417.20774,12430.03383,49496.25596,111076.5516,16702.84811,18383.15288,28701.02706,31381.0785,32438.71119,71806.51082,8731.955955,29559.95721
10/1/1989,24461.39629,175987.284,110404.8968,262185.9978,51105.50016,85999.80198,78192.15187,104347.2171,29453.56713,45983.99275,38862.43015,49379.68484,51061.86735,65745.04669,17091.60918,31756.58991
11/1/1989,34191.258,259364.63,138210.6914,377369.0454,64498.2629,124603.9432,96833.63342,105835.0198,37256.47834,62081.1181,45367.00687,60842.56031,61177.22083,63831.12967,20708.71209,33616.88159
12/1/1989,24486.34571,187145.0861,130854.4118,290741.9567,54452.23695,89967.25483,95794.21472,101128.7631,31837.95453,59205.88915,41125.56298,53372.75485,55742.91182,60624.82364,17997.67874,27076.5285
1/1/1990,6217.524176,61575.90634,114710.3314,130194.178,35736.61748,27190.71867,95512.85476,103380.2199,22865.67659,54279.46984,35210.60412,41944.69797,45178.34568,60639.01583,10414.29314,17604.2217
